groupId	sourceBook	pdfPage	ocrPage	printedPage	classification	candidateArticleIds	reason
rw1	NHCE4-RW1	1	1		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	2	2		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	3	3		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	4	4		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	5	5		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	6	6		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	7	7		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	8	8		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	9	9		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	10	10		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	11	11		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	12	12		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	13	13		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	14	14		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	15	15		front-matter		cover/copyright/preface/contents
rw1	NHCE4-RW1	16	16	1	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	17	17	2	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	18	18	3	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	19	19	4	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	20	20	5	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	21	21	6	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	22	22	7	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	23	23	8	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	24	24	9	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	25	25	10	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	26	26	11	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	27	27	12	article-candidate	rw1-u01-a	directory-defined candidate review span
rw1	NHCE4-RW1	28	28	13	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	29	29	14	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	30	30	15	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	31	31	16	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	32	32	17	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	33	33	18	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	34	34	19	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	35	35	20	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	36	36	21	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	37	37	22	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	38	38	23	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	39	39	24	article-candidate	rw1-u01-b	directory-defined candidate review span
rw1	NHCE4-RW1	40	40	25	article-candidate	rw1-u01-c	directory-defined candidate review span
rw1	NHCE4-RW1	41	41	26	article-candidate	rw1-u01-c	directory-defined candidate review span
rw1	NHCE4-RW1	42	42	27	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	43	43	28	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	44	44	29	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	45	45	30	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	46	46	31	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	47	47	32	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	48	48	33	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	49	49	34	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	50	50	35	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	51	51	36	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	52	52	37	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	53	53	38	article-candidate	rw1-u02-a	directory-defined candidate review span
rw1	NHCE4-RW1	54	54	39	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	55	55	40	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	56	56	41	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	57	57	42	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	58	58	43	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	59	59	44	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	60	60	45	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	61	61	46	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	62	62	47	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	63	63	48	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	64	64	49	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	65	65	50	article-candidate	rw1-u02-b	directory-defined candidate review span
rw1	NHCE4-RW1	66	66	51	article-candidate	rw1-u02-c	directory-defined candidate review span
rw1	NHCE4-RW1	67	67	52	article-candidate	rw1-u02-c	directory-defined candidate review span
rw1	NHCE4-RW1	68	68	53	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	69	69	54	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	70	70	55	teaching-support		unit opening/exercises/skills/writing/project
rw1	NHCE4-RW1	71	71	56	article-candidate	rw1-u03-a	directory-defined candidate review span
rw1	NHCE4-RW1	72	72	57	article-candidate	rw1-u03-a	directory-defined candidate review span
rw1	NHCE4-RW1	73	73	58	article-candidate	rw1-u03-a	directory-defined candidate review span
rw1	NHCE4-RW1	74	74	59	article-candidate	rw1-u03-a	directory-defined candidate review span
rw1	NHCE4-RW1	75	75	60	article-candidate	rw1-u03-a	directory-defined candidate review span
